"","popularity","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"43985",0,303589,0.81,0.662,1,-11.434,0,0.044,0.0046,0.512,0.071,0.328,117.001,4
"43201",55,210000,0.737,0.681,10,-10.063,0,0.0536,0.0401,0.0011,0.31,0.799,124.023,4
"46203",22,74288,0.549,0.69,11,-12.348,1,0.0421,1.8e-05,0.892,0.392,0.725,76.751,4
"103780",0,193493,0.594,0.815,10,-9.223,0,0.216,0.668,0,0.324,0.54,114.316,4
"101063",0,254739,0.0732,0.45,1,-25.672,1,0.144,0.00216,0.923,0.179,0.0248,81.667,4
"82520",24,193466,0.442,0.925,11,-8.318,0,0.0714,0.00536,0.723,0.638,0.414,133.123,4
"28203",45,212571,0.505,0.61,5,-5.673,0,0.0362,0.458,0.00194,0.104,0.189,140.013,4
"32189",63,70770,0.577,0.647,2,-7.647,1,0.0569,0.00165,0.806,0.154,0.236,160.987,4
"77346",47,241666,0.492,0.775,2,-9.836,0,0.0373,0.653,0.0469,0.41,0.811,155.835,4
"13303",38,477333,0.656,0.899,1,-5.095,1,0.0303,0.00201,0.0969,0.0991,0.544,124.451,4
"106484",38,382093,0.299,0.667,4,-7.176,1,0.0307,0.0639,0.000514,0.354,0.591,151.065,4
"87635",43,207133,0.553,0.443,4,-8.284,1,0.0311,0.794,0.000125,0.195,0.433,139.691,4
"52223",16,161400,0.618,0.274,7,-11.782,1,0.0311,0.922,2.42e-05,0.108,0.439,128.884,4
"4429",56,180061,0.412,0.00313,2,-33.479,0,0.0579,0.99,0.96,0.0883,0.12,102.398,4
"10391",14,261126,0.803,0.86,10,-4.065,0,0.143,0.00583,9.96e-06,0.0453,0.603,129.98,4
"65645",47,177253,0.581,0.582,4,-6.574,0,0.0348,0.728,6.73e-05,0.234,0.818,98.391,4
"95020",0,232573,0.875,0.711,0,-10.999,1,0.0518,0.489,0.000524,0.0687,0.906,103.398,4
"95498",31,236499,0.802,0.694,5,-6.854,1,0.0426,0.378,0.000286,0.0728,0.881,160,4
"82663",20,230026,0.726,0.69,6,-11.403,0,0.0523,0.043,0.000515,0.351,0.922,134.88,4
"82908",56,264893,0.588,0.598,9,-13.288,1,0.0296,0.0386,5.83e-05,0.107,0.866,123.724,4
"9273",46,185360,0.549,0.945,1,-4.534,1,0.295,0.00636,0,0.106,0.453,105.3,4
"59853",0,1038586,0.452,0.13,8,-15.266,1,0.093,0.99,0.403,0.323,0.172,80.192,3
"29599",26,211200,0.593,0.946,6,-2.753,1,0.327,0.0147,0.0691,0.328,0.35,149.993,4
"33473",56,162901,0.802,0.579,6,-4.12,0,0.0325,0.189,0,0.219,0.647,111.994,4
"45502",38,169506,0.226,0.101,1,-21.513,1,0.032,0.991,0.947,0.106,0.139,76.41,3
"90423",33,148584,0.584,0.709,0,-9.442,1,0.0354,0.769,0,0.303,0.787,134.019,4
"52447",14,143760,0.657,0.314,0,-11.094,1,0.0304,0.716,0,0.161,0.761,102.96,4
"113358",30,476420,0.401,0.668,2,-8.731,0,0.0404,0.0224,0,0.122,0.277,75.995,4
"55732",48,225976,0.727,0.564,9,-9.797,1,0.0567,0.707,0,0.104,0.616,97.008,4
"51191",2,223366,0.83,0.623,6,-4.056,1,0.0801,0.0219,0,0.0812,0.614,101.036,4
"99882",67,223280,0.551,0.416,4,-7.94,1,0.0274,0.648,2.26e-06,0.312,0.255,72.174,4
"5061",62,227625,0.718,0.803,6,-4.983,1,0.0318,0.182,1.85e-06,0.111,0.889,110.009,4
"88430",0,173306,0.661,0.576,6,-6.025,0,0.485,0.026,0,0.0623,0.924,123.425,5
"61959",18,249866,0.59,0.926,6,-1.865,1,0.048,0.486,0,0.0849,0.617,126.038,4
"78884",24,156269,0.763,0.886,9,-3.745,0,0.258,0.114,0,0.148,0.631,150.073,4
"96739",39,167226,0.695,0.178,5,-15.743,0,0.0346,0.875,0.000196,0.0929,0.486,130.415,4
"15014",93,244360,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4
"47328",72,200293,0.306,0.722,0,-5.963,1,0.034,0.0519,0,0.117,0.41,174.732,4
"31341",0,168053,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036,4
"39908",52,284440,0.461,0.52,6,-7.049,0,0.0325,0.00321,0.0183,0.134,0.256,124.937,4
"39120",1,165800,0.623,0.727,11,-5.57,0,0.0562,0.184,2.02e-05,0.309,0.4,125.975,4
"31186",1,242904,0.716,0.655,2,-5.999,1,0.0444,0.00857,0.162,0.0572,0.207,125.012,4
"69330",32,458213,0.523,0.453,0,-6.973,0,0.0254,0.35,0,0.109,0.327,70.034,4
"10063",55,307813,0.443,0.96,1,-5.481,1,0.0661,0.000127,0.875,0.194,0.533,174.011,4
"102690",0,246333,0.679,0.766,9,-4.993,1,0.0291,0.32,0.015,0.111,0.679,116.269,4
"112376",42,280613,0.717,0.819,7,-5.786,0,0.0626,0.0558,0.0176,0.352,0.825,125.017,4
"37946",44,177412,0.829,0.885,7,-2.469,1,0.093,0.803,9.87e-06,0.472,0.568,115.071,4
"39906",38,143068,0.838,0.525,7,-10.115,1,0.238,0.25,6.46e-05,0.0895,0.369,88.007,4
"45403",38,164000,0.55,0.137,9,-16.341,0,0.056,0.936,0.731,0.103,0.165,126.53,4
"6078",48,516266,0.232,0.931,9,-8.804,1,0.0808,0.00413,0.756,0.0927,0.0371,122.684,4
"10950",11,2796984,0.516,0.899,1,-5.899,1,0.0573,0.00336,0.00168,0.19,0.465,130.572,4
"26066",33,121685,0.41,0.062,2,-25.843,1,0.0617,0.994,0.975,0.085,0.446,173.776,4
"92896",25,170386,0.527,0.26,7,-12.978,1,0.0304,0.59,0.000112,0.073,0.579,105.687,4
"107260",43,199455,0.452,0.798,8,-6.25,1,0.0582,0.00334,0.00167,0.215,0.32,173.997,4
"46861",17,365494,0.607,0.892,2,-6.939,1,0.0374,0.112,0.949,0.12,0.0973,95.491,4
"53671",0,160656,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,4
"24464",9,407826,0.552,0.76,1,-12.784,0,0.117,0.262,0.831,0.0508,0.0898,140.13,4
"13229",12,185806,0.804,0.796,11,-6.113,0,0.112,0.0335,0.461,0.111,0.278,124.008,4
"8251",66,217625,0.49,0.753,6,-5.411,1,0.238,0.081,2.85e-06,0.268,0.325,156.241,4
"48448",34,219320,0.305,0.948,0,-5.245,0,0.134,0.0572,0,0.357,0.257,176.896,4
"16388",0,183066,0.287,0.0372,0,-25.063,0,0.0541,0.981,0.0774,0.0514,0.0393,86.551,4
"18801",36,174779,0.659,0.555,11,-6.35,1,0.0541,0.28,0,0.0948,0.445,85.035,4
"56209",75,218883,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4
"44497",64,197800,0.541,0.916,7,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,4
"86377",45,209893,0.783,0.292,2,-18.026,1,0.0404,0.164,0.00185,0.153,0.696,120.802,4
"45093",0,267533,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4
"37292",1,272506,0.736,0.781,5,-3.98,1,0.0443,0.00124,0.0138,0.0796,0.787,110.014,4
"43414",58,166633,0.701,0.83,9,-6.656,0,0.0535,0.0407,0.0121,0.348,0.839,125.979,3
"72543",27,197906,0.511,0.986,2,-4.232,1,0.121,3.64e-05,0.00662,0.437,0.286,109.993,4
"97141",52,206256,0.41,0.67,2,-4.921,1,0.0588,0.259,0,0.912,0.428,100.87,4
"93856",0,353410,0.357,0.28,9,-11.596,0,0.0349,0.966,0.0507,0.0779,0.267,136.75,4
"37473",47,224184,0.649,0.468,6,-11.423,0,0.271,0.265,0,0.0921,0.47,131.925,4
"69338",31,174193,0.641,0.567,10,-9.822,1,0.0432,0.564,0.00371,0.089,0.502,123.975,4
"90218",37,163706,0.73,0.612,10,-5.781,1,0.0379,0.594,0,0.64,0.83,107.635,4
"97930",43,214813,0.557,0.585,7,-6.753,1,0.0396,0.572,0,0.972,0.599,82.617,1
"97744",46,202200,0.757,0.733,4,-6.706,1,0.0297,0.526,0,0.219,0.821,128.013,4
"105830",25,105000,0.742,0.474,0,-11.896,1,0.181,0.659,0.945,0.573,0.489,160.052,4
"73408",43,723673,0.747,0.646,6,-9.574,1,0.0439,0.000986,0.868,0.0831,0.575,123.989,4
"27076",33,226046,0.528,0.957,1,-1.265,1,0.114,0.121,0.91,0.144,0.0772,171.992,4
"32722",58,120959,0.707,0.678,1,-5.755,1,0.041,0.0309,0,0.0814,0.442,124.99,4
"20719",3,220138,0.596,0.473,9,-9.381,0,0.218,0.0273,0,0.203,0.365,157,4
"75090",35,447826,0.292,0.00847,7,-34.663,1,0.0432,0.872,0.91,0.0986,0.108,119.415,4
"51990",0,212026,0.765,0.816,1,-3.99,1,0.0595,0.124,8.19e-05,0.197,0.624,89.005,4
"48330",1,191786,0.378,0.934,11,-3.702,0,0.107,0.0013,0.0149,0.322,0.602,159.829,4
"80522",63,366853,0.815,0.833,7,-6.117,0,0.0769,0.0297,2e-05,0.33,0.563,99.989,4
"39392",15,318426,0.156,0.332,9,-16.687,1,0.0349,0.117,0.894,0.111,0.0355,74.592,4
"91643",0,245510,0.231,0.158,7,-11.508,1,0.0297,0.745,0,0.123,0.204,106.031,3
"2308",73,248335,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,4
"17876",41,123306,0.622,0.765,10,-3.768,0,0.0345,0.381,0,0.17,0.652,143.842,4
"20423",0,167858,0.744,0.725,11,-6.056,1,0.0303,0.0179,1e-05,0.212,0.902,118.035,4
"79104",74,241853,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,4
"20499",0,197651,0.563,0.879,0,-4.735,0,0.0907,0.00125,1.76e-05,0.166,0.602,107.013,4
"63384",37,238732,0.573,0.697,2,-3.988,1,0.0355,0.0127,0,0.102,0.647,103.982,4
"93393",0,225093,0.333,0.131,2,-17.756,0,0.0373,0.97,0.0228,0.217,0.126,80.065,5
"38492",27,141801,0.423,0.963,9,-4.197,0,0.0835,0.0462,0.973,0.0835,0.386,130.059,4
"16223",0,185506,0.215,0.184,2,-15.551,0,0.0485,0.957,0.881,0.124,0.0949,83.917,4
"105",60,199019,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4
"59776",0,15800,0.251,0.508,5,-10.564,0,0.316,0.969,0.999,0.952,0,184.051,3
"13992",5,480200,0.804,0.678,10,-11.94,0,0.0496,0.0697,0.919,0.0854,0.741,124.679,4
"9223",49,141400,0.574,0.89,6,-5.789,0,0.041,0.082,0,0.0741,0.83,97.9,4
"26860",19,78240,0.538,0.512,8,-8.697,1,0.0638,0.947,1.42e-05,0.273,0.855,52.751,4
"87942",40,234506,0.55,0.906,9,-6.611,1,0.038,0.00417,1.77e-05,0.439,0.664,109.536,4
"29151",53,295890,0.363,0.735,1,-3.857,1,0.0428,0.0014,0.000119,0.13,0.0721,145.556,4
"59341",0,286466,0.397,0.055,9,-21.124,0,0.0499,0.983,0.501,0.112,0.0393,118.105,5
"76981",20,265200,0.29,0.427,7,-6.847,0,0.0315,0.37,2.68e-06,0.323,0.0539,81.832,3
"75262",41,266053,0.666,0.442,10,-10.572,1,0.0289,0.261,0.436,0.113,0.332,105.022,4
"48364",54,303533,0.728,0.647,10,-5.199,0,0.24,0.0354,1.7e-06,0.285,0.215,160.009,4
"3928",72,278973,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,4
"105750",8,145958,0.724,0.737,8,-6.471,0,0.057,0.00721,0.12,0.104,0.814,85.99,4
"65183",72,240361,0.508,0.559,2,-6.366,0,0.0276,0.288,0,0.131,0.329,135.866,4
"85353",57,202040,0.386,0.796,2,-4.76,0,0.0413,0.0259,0,0.124,0.635,148.6,4
"113471",40,242626,0.498,0.927,10,-5.156,1,0.088,0.000186,0,0.673,0.486,145.052,4
"94763",57,152727,0.746,0.548,7,-5.098,1,0.0533,0.148,2.21e-06,0.0984,0.498,87.946,4
"11465",53,368493,0.408,0.363,2,-13.949,1,0.0284,0.528,0.0538,0.0868,0.212,131.249,4
"85768",36,259554,0.523,0.765,0,-7.305,1,0.0492,0.266,0,0.211,0.543,136.115,4
"36720",33,210440,0.825,0.614,1,-6.296,1,0.115,0.0125,5.53e-06,0.102,0.432,156.997,4
"19899",43,162352,0.502,0.877,7,-2.847,1,0.0746,0.0129,0,0.244,0.696,170.123,4
"108163",23,195936,0.648,0.237,4,-8.837,0,0.0511,0.978,0,0.123,0.435,119.956,3
"103489",0,221586,0.669,0.623,1,-6.224,1,0.0239,0.0645,0.00353,0.0641,0.24,96.999,4
"55372",52,305600,0.53,0.795,7,-6.547,1,0.0314,0.17,2.81e-05,0.157,0.546,150.009,4
"28443",0,342008,0.35,0.869,7,-3.695,0,0.0773,0.000473,0.00079,0.222,0.0693,146.009,4
"92690",24,157933,0.61,0.991,2,-2.547,1,0.115,0.539,3e-05,0.259,0.914,102.27,4
"23683",48,197619,0.657,0.736,8,-4.781,1,0.0966,0.0971,0.000115,0.0955,0.318,125.937,4
"3969",66,222706,0.577,0.789,2,-4.661,1,0.0427,0.00532,0.0105,0.214,0.149,97.52,3
"42569",13,117771,0.463,0.672,4,-10.284,0,0.115,0.239,0.14,0.326,0.31,130.292,4
"50259",57,313586,0.324,0.976,9,-3.84,1,0.0679,0.000157,0.000379,0.11,0.593,124.236,4
"72809",51,204560,0.597,0.95,9,-2.557,1,0.0511,0.00169,0,0.111,0.448,112.06,4
"38693",26,173893,0.541,0.842,0,-3.479,1,0.0436,0.145,3.05e-05,0.135,0.747,120.987,4
"6417",18,297046,0.0731,0.962,5,-4.567,1,0.128,4.6e-06,0.00564,0.17,0.0722,178.633,3
"3475",0,177345,0.529,0.818,6,-6.622,1,0.04,6.5e-05,0,0.354,0.684,148.173,4
"45402",28,207180,0.49,0.158,2,-16.259,1,0.0484,0.987,0.783,0.0856,0.173,105.394,4
"37392",0,186546,0.758,0.579,8,-4.336,1,0.0358,0.649,0.000301,0.0655,0.781,113.446,4
"14943",0,84000,0.717,0.673,5,-4.645,1,0.251,0.801,0.0161,0.0214,0.963,60.799,4
"51930",0,172342,0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,4
"78775",25,241600,0.756,0.521,0,-7.301,1,0.031,0.27,4.15e-05,0.0655,0.8,105.03,4
"76692",21,347000,0.367,0.349,1,-15.256,1,0.0532,0.872,0.74,0.1,0.244,127.044,3
"97280",50,210044,0.419,0.693,4,-3.522,1,0.0504,0.72,0,0.431,0.69,65.116,4
"103594",0,165586,0.236,0.555,0,-7.383,1,0.031,0.0392,0,0.213,0.325,80.718,3
"109175",40,565125,0.732,0.655,11,-9.06,0,0.0399,0.00824,0.716,0.0903,0.157,127.016,4
"56110",56,142201,0.453,0.643,1,-9.842,1,0.0913,0.0855,0.000621,0.0891,0.318,91.992,4
"12427",22,207786,0.476,0.752,0,-6.244,1,0.043,0.385,0,0.135,0.685,173.888,4
"29173",59,271749,0.55,0.858,6,-2.58,1,0.0357,0.041,0.199,0.0562,0.577,145.169,4
"51190",4,224800,0.805,0.878,7,-3.826,1,0.0864,0.0754,0.00329,0.0656,0.922,124.994,4
"81717",1,242096,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
"90658",64,178840,0.598,0.564,0,-6.454,1,0.032,0.216,0.000204,0.277,0.43,147.619,4
"34330",41,279379,0.825,0.745,7,-6.856,0,0.0867,0.209,4.17e-06,0.111,0.942,124.092,4
"11785",59,149240,0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,4
"85791",36,138320,0.366,0.963,2,-3.967,1,0.0685,0.000251,8.37e-05,0.244,0.749,175.905,4
"7529",26,230986,0.422,0.772,7,-5.386,1,0.0307,0.000496,0,0.338,0.653,152.819,4
"35190",44,168751,0.631,0.935,10,-3.442,0,0.0782,0.161,6.89e-05,0.254,0.825,92.507,4
"9537",46,239013,0.554,0.722,4,-6.473,1,0.0325,0.00263,0,0.745,0.278,125.063,4
"16403",34,288510,0.306,0.387,0,-12.526,1,0.0357,0.561,0,0.107,0.295,122.587,5
"62699",39,245673,0.705,0.755,1,-4.727,0,0.0656,0.346,0,0.064,0.887,103.92,4
"34377",65,201195,0.644,0.501,1,-9.374,0,0.0302,0.664,0.164,0.124,0.158,103.988,4
"83236",42,262130,0.588,0.914,9,-8.494,0,0.0532,0.00358,0.00777,0.307,0.0991,129.97,4
"51102",89,240693,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4
"21614",37,99713,0.777,0.553,4,-7.918,0,0.261,0.554,0.0742,0.0629,0.733,174.042,4
"12207",33,159902,0.609,0.251,9,-15.696,1,0.0316,0.85,0.0371,0.0947,0.304,85,3
"67233",0,187115,0.602,0.811,0,-3.128,1,0.0362,0.0766,0,0.273,0.807,159.829,4
"38966",26,110462,0.348,0.21,1,-11.837,1,0.033,0.018,0.48,0.136,0.218,76.13,4
"36217",59,169032,0.507,0.505,1,-9.919,0,0.0431,0.607,0.00209,0.118,0.228,93.378,4
"87133",52,169691,0.806,0.366,7,-8.779,1,0.0833,0.432,0,0.13,0.983,113.583,4
"64706",57,208893,0.448,0.0588,1,-27.582,1,0.0328,0.625,0.952,0.132,0.418,95.997,4
"32185",55,182386,0.781,0.854,11,-7.411,0,0.311,0.0159,0.0493,0.15,0.493,100.043,4
"58268",60,152626,0.586,0.889,11,-4.331,0,0.0488,1.35e-05,0.607,0.0715,0.837,140.535,4
"25491",33,195006,0.812,0.999,2,-2.313,1,0.165,0.181,0,0.641,0.948,138.007,4
"23641",54,171428,0.836,0.831,6,-3.016,1,0.0488,0.02,0.00116,0.0941,0.83,126.047,4
"16528",65,166866,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,4
